,X,T,U
0,-15.0,0.01,0.00048211217
1,-14.696969696969697,0.01,0.00035634637
2,-14.393939393939394,0.01,0.00023391843
3,-14.09090909090909,0.01,0.000113874674
4,-13.787878787878787,0.01,-3.9041042e-06
5,-13.484848484848484,0.01,-0.00011906028
6,-13.181818181818182,0.01,-0.00023040175
7,-12.878787878787879,0.01,-0.00033697486
8,-12.575757575757576,0.01,-0.00043997169
9,-12.272727272727273,0.01,-0.0005373657
10,-11.969696969696969,0.01,-0.00062927604
11,-11.666666666666666,0.01,-0.00071427226
12,-11.363636363636363,0.01,-0.00079259276
13,-11.06060606060606,0.01,-0.00086316466
14,-10.757575757575758,0.01,-0.0009251535
15,-10.454545454545453,0.01,-0.0009771287
16,-10.151515151515152,0.01,-0.0010187328
17,-9.848484848484848,0.01,-0.0010479391
18,-9.545454545454545,0.01,-0.0010639131
19,-9.242424242424242,0.01,-0.0010648668
20,-8.93939393939394,0.01,-0.0010510385
21,-8.636363636363637,0.01,-0.001018852
22,-8.333333333333332,0.01,-0.000965327
23,-8.030303030303031,0.01,-0.00088986754
24,-7.727272727272727,0.01,-0.0007863939
25,-7.424242424242424,0.01,-0.0006531179
26,-7.121212121212121,0.01,-0.0004838407
27,-6.818181818181818,0.01,-0.00027236342
28,-6.515151515151516,0.01,-7.0035458e-06
29,-6.212121212121211,0.01,0.0003222525
30,-5.909090909090908,0.01,0.0007313788
31,-5.6060606060606055,0.01,0.0012407601
32,-5.303030303030303,0.01,0.0018784106
33,-5.0,0.01,0.0026790202
34,-4.696969696969697,0.01,0.003688842
35,-4.3939393939393945,0.01,0.004964024
36,-4.09090909090909,0.01,0.006583482
37,-3.787878787878787,0.01,0.008646518
38,-3.4848484848484844,0.01,0.011299044
39,-3.1818181818181817,0.01,0.014762193
40,-2.878787878787879,0.01,0.01939097
41,-2.575757575757576,0.01,0.025727183
42,-2.2727272727272716,0.01,0.03421989
43,-1.9696969696969688,0.01,0.0433847
44,-1.666666666666666,0.01,0.043059975
45,-1.3636363636363633,0.01,0.008728057
46,-1.0606060606060606,0.01,-0.0069559515
47,-0.7575757575757578,0.01,0.23374787
48,-0.45454545454545325,0.01,2.9123268
49,-0.1515151515151505,0.01,4.4539466
50,0.15151515151515227,0.01,4.436152
51,0.45454545454545503,0.01,2.9223785
52,0.7575757575757578,0.01,0.20029488
53,1.0606060606060623,0.01,0.012570053
54,1.3636363636363633,0.01,0.031102449
55,1.6666666666666679,0.01,0.06142786
56,1.9696969696969688,0.01,0.059054166
57,2.2727272727272734,0.01,0.04401484
58,2.575757575757578,0.01,0.030372292
59,2.878787878787879,0.01,0.020336658
60,3.1818181818181834,0.01,0.013254911
61,3.4848484848484844,0.01,0.008320957
62,3.787878787878789,0.01,0.0049320757
63,4.09090909090909,0.01,0.0026527941
64,4.3939393939393945,0.01,0.0011701882
65,4.696969696969699,0.01,0.00025108457
66,5.0,0.01,-0.00027427077
67,5.3030303030303045,0.01,-0.0005297363
68,5.6060606060606055,0.01,-0.00060400367
69,5.90909090909091,0.01,-0.00056251884
70,6.212121212121211,0.01,-0.000451535
71,6.515151515151516,0.01,-0.00030252337
72,6.81818181818182,0.01,-0.0001386106
73,7.121212121212121,0.01,2.56598e-05
74,7.424242424242426,0.01,0.00018039346
75,7.727272727272727,0.01,0.00031879544
76,8.030303030303031,0.01,0.00043788552
77,8.333333333333336,0.01,0.00053551793
78,8.636363636363637,0.01,0.00061121583
79,8.939393939393941,0.01,0.00066664815
80,9.242424242424242,0.01,0.0007006228
81,9.545454545454547,0.01,0.0007158816
82,9.848484848484848,0.01,0.00071278214
83,10.151515151515152,0.01,0.00069382787
84,10.454545454545457,0.01,0.00066033006
85,10.757575757575758,0.01,0.0006147921
86,11.060606060606062,0.01,0.0005553067
87,11.363636363636363,0.01,0.0004874766
88,11.666666666666668,0.01,0.00041022897
89,11.969696969696969,0.01,0.00032535195
90,12.272727272727273,0.01,0.00023296475
91,12.575757575757578,0.01,0.00013414025
92,12.878787878787879,0.01,3.07858e-05
93,13.181818181818183,0.01,-7.7575445e-05
94,13.484848484848484,0.01,-0.0001898706
95,13.787878787878789,0.01,-0.0003043115
96,14.090909090909093,0.01,-0.00042244792
97,14.393939393939394,0.01,-0.0005426109
98,14.696969696969699,0.01,-0.0006637275
99,15.0,0.01,-0.000787586
100,-15.0,0.02,0.0004426539
101,-14.696969696969697,0.02,0.00032678246
102,-14.393939393939394,0.02,0.00021353364
103,-14.09090909090909,0.02,0.00010159612
104,-13.787878787878787,0.02,-7.480383e-06
105,-13.484848484848484,0.02,-0.000112861395
106,-13.181818181818182,0.02,-0.00021657348
107,-12.878787878787879,0.02,-0.0003170669
108,-12.575757575757576,0.02,-0.00041255355
109,-12.272727272727273,0.02,-0.00050351024
110,-11.969696969696969,0.02,-0.0005901754
111,-11.666666666666666,0.02,-0.0006687343
112,-11.363636363636363,0.02,-0.0007433593
113,-11.06060606060606,0.02,-0.00080928206
114,-10.757575757575758,0.02,-0.00086805224
115,-10.454545454545453,0.02,-0.00091680884
116,-10.151515151515152,0.02,-0.0009559095
117,-9.848484848484848,0.02,-0.0009841621
118,-9.545454545454545,0.02,-0.0010002553
119,-9.242424242424242,0.02,-0.0010020435
120,-8.93939393939394,0.02,-0.0009878576
121,-8.636363636363637,0.02,-0.0009559095
122,-8.333333333333332,0.02,-0.00090524554
123,-8.030303030303031,0.02,-0.0008312166
124,-7.727272727272727,0.02,-0.0007314384
125,-7.424242424242424,0.02,-0.0006006658
126,-7.121212121212121,0.02,-0.0004352033
127,-6.818181818181818,0.02,-0.00022539496
128,-6.515151515151516,0.02,3.4481287e-05
129,-6.212121212121211,0.02,0.0003594458
130,-5.909090909090908,0.02,0.0007634461
131,-5.6060606060606055,0.02,0.0012693703
132,-5.303030303030303,0.02,0.0019018948
133,-5.0,0.02,0.0026986897
134,-4.696969696969697,0.02,0.003704697
135,-4.3939393939393945,0.02,0.004979044
136,-4.09090909090909,0.02,0.0065995753
137,-3.787878787878787,0.02,0.008671433
138,-3.4848484848484844,0.02,0.01134482
139,-3.1818181818181817,0.02,0.014845878
140,-2.878787878787879,0.02,0.019540817
141,-2.575757575757576,0.02,0.025963336
142,-2.2727272727272716,0.02,0.034536272
143,-1.9696969696969688,0.02,0.04376152
144,-1.666666666666666,0.02,0.043465167
145,-1.3636363636363633,0.02,0.010203391
146,-1.0606060606060606,0.02,-0.009783655
147,-0.7575757575757578,0.02,1.258119
148,-0.45454545454545325,0.02,2.6520524
149,-0.1515151515151505,0.02,3.472889
150,0.15151515151515227,0.02,3.5577765
151,0.45454545454545503,0.02,3.003095
152,0.7575757575757578,0.02,1.1646007
153,1.0606060606060623,0.02,0.0125902
154,1.3636363636363633,0.02,0.032337457
155,1.6666666666666679,0.02,0.061083227
156,1.9696969696969688,0.02,0.059531122
157,2.2727272727272734,0.02,0.044546038
158,2.575757575757578,0.02,0.030721456
159,2.878787878787879,0.02,0.020542651
160,3.1818181818181834,0.02,0.013383895
161,3.4848484848484844,0.02,0.008411199
162,3.787878787878789,0.02,0.0050001442
163,4.09090909090909,0.02,0.002706319
164,4.3939393939393945,0.02,0.0012098849
165,4.696969696969699,0.02,0.00027683377
166,5.0,0.02,-0.00026330352
167,5.3030303030303045,0.02,-0.0005310476
168,5.6060606060606055,0.02,-0.0006173551
169,5.90909090909091,0.02,-0.00058600307
170,6.212121212121211,0.02,-0.0004799068
171,6.515151515151516,0.02,-0.00033435225
172,6.81818181818182,0.02,-0.00017055869
173,7.121212121212121,0.02,-4.0233135e-06
174,7.424242424242426,0.02,0.0001540482
175,7.727272727272727,0.02,0.0002991259
176,8.030303030303031,0.02,0.00042501092
177,8.333333333333336,0.02,0.00053086877
