,X,T,U
0,-15.0,0.01,0.00026017427
1,-14.696969696969697,0.01,0.0002939999
2,-14.393939393939394,0.01,0.000328511
3,-14.09090909090909,0.01,0.00036349893
4,-13.787878787878787,0.01,0.00039947033
5,-13.484848484848484,0.01,0.00043591857
6,-13.181818181818182,0.01,0.00047332048
7,-12.878787878787879,0.01,0.00051122904
8,-12.575757575757576,0.01,0.00054991245
9,-12.272727272727273,0.01,0.00058951974
10,-11.969696969696969,0.01,0.00062933564
11,-11.666666666666666,0.01,0.00067028403
12,-11.363636363636363,0.01,0.0007110238
13,-11.06060606060606,0.01,0.00075283647
14,-10.757575757575758,0.01,0.00079500675
15,-10.454545454545453,0.01,0.00083747506
16,-10.151515151515152,0.01,0.0008806288
17,-9.848484848484848,0.01,0.0009236336
18,-9.545454545454545,0.01,0.00096687675
19,-9.242424242424242,0.01,0.0010104179
20,-8.93939393939394,0.01,0.0010540187
21,-8.636363636363637,0.01,0.0010975301
22,-8.333333333333332,0.01,0.0011409521
23,-8.030303030303031,0.01,0.0011848807
24,-7.727272727272727,0.01,0.0012299418
25,-7.424242424242424,0.01,0.0012765229
26,-7.121212121212121,0.01,0.0013257563
27,-6.818181818181818,0.01,0.0013797283
28,-6.515151515151516,0.01,0.0014419258
29,-6.212121212121211,0.01,0.0015165508
30,-5.909090909090908,0.01,0.0016105473
31,-5.6060606060606055,0.01,0.0017331541
32,-5.303030303030303,0.01,0.0018978715
33,-5.0,0.01,0.0021235645
34,-4.696969696969697,0.01,0.0024366677
35,-4.3939393939393945,0.01,0.0028733015
36,-4.09090909090909,0.01,0.0034831762
37,-3.787878787878787,0.01,0.0043343604
38,-3.4848484848484844,0.01,0.005517125
39,-3.1818181818181817,0.01,0.0071465075
40,-2.878787878787879,0.01,0.009351373
41,-2.575757575757576,0.01,0.012240469
42,-2.2727272727272716,0.01,0.015817285
43,-1.9696969696969688,0.01,0.019799978
44,-1.666666666666666,0.01,0.023025632
45,-1.3636363636363633,0.01,0.020321846
46,-1.0606060606060606,0.01,-0.010111183
47,-0.7575757575757578,0.01,0.16508278
48,-0.45454545454545325,0.01,2.9277852
49,-0.1515151515151505,0.01,4.448741
50,0.15151515151515227,0.01,4.4483643
51,0.45454545454545503,0.01,2.9248853
52,0.7575757575757578,0.01,0.11331898
53,1.0606060606060623,0.01,0.010070801
54,1.3636363636363633,0.01,0.008316815
55,1.6666666666666679,0.01,0.0073989034
56,1.9696969696969688,0.01,0.006557226
57,2.2727272727272734,0.01,0.005811155
58,2.575757575757578,0.01,0.005151272
59,2.878787878787879,0.01,0.0045691133
60,3.1818181818181834,0.01,0.004056871
61,3.4848484848484844,0.01,0.003607452
62,3.787878787878789,0.01,0.003214419
63,4.09090909090909,0.01,0.0028701425
64,4.3939393939393945,0.01,0.0025686026
65,4.696969696969699,0.01,0.0023044944
66,5.0,0.01,0.0020720363
67,5.3030303030303045,0.01,0.0018674731
68,5.6060606060606055,0.01,0.001686275
69,5.90909090909091,0.01,0.0015260577
70,6.212121212121211,0.01,0.0013836026
71,6.515151515151516,0.01,0.0012560487
72,6.81818181818182,0.01,0.0011419654
73,7.121212121212121,0.01,0.0010386109
74,7.424242424242426,0.01,0.00094503164
75,7.727272727272727,0.01,0.00085914135
76,8.030303030303031,0.01,0.000780344
77,8.333333333333336,0.01,0.00070750713
78,8.636363636363637,0.01,0.0006392002
79,8.939393939393941,0.01,0.0005751252
80,9.242424242424242,0.01,0.0005142689
81,9.545454545454547,0.01,0.00045651197
82,9.848484848484848,0.01,0.00040107965
83,10.151515151515152,0.01,0.00034755468
84,10.454545454545457,0.01,0.0002951622
85,10.757575757575758,0.01,0.00024425983
86,11.060606060606062,0.01,0.00019466877
87,11.363636363636363,0.01,0.00014549494
88,11.666666666666668,0.01,9.685755e-05
89,11.969696969696969,0.01,4.8935413e-05
90,12.272727272727273,0.01,8.940697e-07
91,12.575757575757578,0.01,-4.6491623e-05
92,12.878787878787879,0.01,-9.405613e-05
93,13.181818181818183,0.01,-0.00014150143
94,13.484848484848484,0.01,-0.00018852949
95,13.787878787878789,0.01,-0.00023579597
96,14.090909090909093,0.01,-0.00028330088
97,14.393939393939394,0.01,-0.00033032894
98,14.696969696969699,0.01,-0.00037765503
99,15.0,0.01,-0.00042521954
100,-15.0,0.02,0.00024926662
101,-14.696969696969697,0.02,0.00028288364
102,-14.393939393939394,0.02,0.00031736493
103,-14.09090909090909,0.02,0.0003527403
104,-13.787878787878787,0.02,0.00038823485
105,-13.484848484848484,0.02,0.0004247725
106,-13.181818181818182,0.02,0.00046172738
107,-12.878787878787879,0.02,0.00049987435
108,-12.575757575757576,0.02,0.00053858757
109,-12.272727272727273,0.02,0.00057795644
110,-11.969696969696969,0.02,0.00061798096
111,-11.666666666666666,0.02,0.0006585419
112,-11.363636363636363,0.02,0.00070011616
113,-11.06060606060606,0.02,0.0007419586
114,-10.757575757575758,0.02,0.0007843971
115,-10.454545454545453,0.02,0.00082725286
116,-10.151515151515152,0.02,0.00087070465
117,-9.848484848484848,0.02,0.00091439486
118,-9.545454545454545,0.02,0.0009583831
119,-9.242424242424242,0.02,0.0010026693
120,-8.93939393939394,0.02,0.0010470748
121,-8.636363636363637,0.02,0.0010921955
122,-8.333333333333332,0.02,0.0011373758
123,-8.030303030303031,0.02,0.0011831224
124,-7.727272727272727,0.02,0.0012299418
125,-7.424242424242424,0.02,0.0012789369
126,-7.121212121212121,0.02,0.0013313293
127,-6.818181818181818,0.02,0.0013893247
128,-6.515151515151516,0.02,0.0014557242
129,-6.212121212121211,0.02,0.0015351772
