,X,T,U
0,-15.0,0.01,-0.0001951456
1,-14.696969696969697,0.01,-0.00018143654
2,-14.393939393939394,0.01,-0.00016850233
3,-14.09090909090909,0.01,-0.0001565218
4,-13.787878787878787,0.01,-0.00014519691
5,-13.484848484848484,0.01,-0.00013500452
6,-13.181818181818182,0.01,-0.00012528896
7,-12.878787878787879,0.01,-0.00011634827
8,-12.575757575757576,0.01,-0.00010764599
9,-12.272727272727273,0.01,-9.936094e-05
10,-11.969696969696969,0.01,-9.083748e-05
11,-11.666666666666666,0.01,-8.189678e-05
12,-11.363636363636363,0.01,-7.241964e-05
13,-11.06060606060606,0.01,-6.181002e-05
14,-10.757575757575758,0.01,-4.9710274e-05
15,-10.454545454545453,0.01,-3.5226345e-05
16,-10.151515151515152,0.01,-1.7642975e-05
17,-9.848484848484848,0.01,3.33786e-06
18,-9.545454545454545,0.01,2.8967857e-05
19,-9.242424242424242,0.01,6.0260296e-05
20,-8.93939393939394,0.01,9.8884106e-05
21,-8.636363636363637,0.01,0.00014591217
22,-8.333333333333332,0.01,0.00020325184
23,-8.030303030303031,0.01,0.0002732277
24,-7.727272727272727,0.01,0.00035822392
25,-7.424242424242424,0.01,0.00046128035
26,-7.121212121212121,0.01,0.00058561563
27,-6.818181818181818,0.01,0.0007362366
28,-6.515151515151516,0.01,0.0009171963
29,-6.212121212121211,0.01,0.0011362433
30,-5.909090909090908,0.01,0.0014007092
31,-5.6060606060606055,0.01,0.0017206669
32,-5.303030303030303,0.01,0.0021086335
33,-5.0,0.01,0.0025805235
34,-4.696969696969697,0.01,0.0031571388
35,-4.3939393939393945,0.01,0.0038628578
36,-4.09090909090909,0.01,0.0047284365
37,-3.787878787878787,0.01,0.0057899356
38,-3.4848484848484844,0.01,0.0070874095
39,-3.1818181818181817,0.01,0.008661389
40,-2.878787878787879,0.01,0.010537982
41,-2.575757575757576,0.01,0.012691379
42,-2.2727272727272716,0.01,0.014942229
43,-1.9696969696969688,0.01,0.016702116
44,-1.666666666666666,0.01,0.016420424
45,-1.3636363636363633,0.01,0.010649323
46,-1.0606060606060606,0.01,-0.004504502
47,-0.7575757575757578,0.01,0.0131194
48,-0.45454545454545325,0.01,2.922657
49,-0.1515151515151505,0.01,4.449554
50,0.15151515151515227,0.01,4.4474645
51,0.45454545454545503,0.01,2.922344
52,0.7575757575757578,0.01,0.0015374422
53,1.0606060606060623,0.01,-0.0011911988
54,1.3636363636363633,0.01,0.014672875
55,1.6666666666666679,0.01,0.015770495
56,1.9696969696969688,0.01,0.013058245
57,2.2727272727272734,0.01,0.010025561
58,2.575757575757578,0.01,0.0075141788
59,2.878787878787879,0.01,0.005613804
60,3.1818181818181834,0.01,0.00422132
61,3.4848484848484844,0.01,0.003212154
62,3.787878787878789,0.01,0.0024810433
63,4.09090909090909,0.01,0.0019486547
64,4.3939393939393945,0.01,0.0015589595
65,4.696969696969699,0.01,0.0012700558
66,5.0,0.01,0.001052618
67,5.3030303030303045,0.01,0.0008864403
68,5.6060606060606055,0.01,0.0007570386
69,5.90909090909091,0.01,0.00065362453
70,6.212121212121211,0.01,0.00056904554
71,6.515151515151516,0.01,0.0004979968
72,6.81818181818182,0.01,0.00043714046
73,7.121212121212121,0.01,0.0003838539
74,7.424242424242426,0.01,0.0003362298
75,7.727272727272727,0.01,0.00029349327
76,8.030303030303031,0.01,0.00025379658
77,8.333333333333336,0.01,0.00021737814
78,8.636363636363637,0.01,0.00018364191
79,8.939393939393941,0.01,0.00015234947
80,9.242424242424242,0.01,0.0001231432
81,9.545454545454547,0.01,9.614229e-05
82,9.848484848484848,0.01,7.1406364e-05
83,10.151515151515152,0.01,4.8160553e-05
84,10.454545454545457,0.01,2.7477741e-05
85,10.757575757575758,0.01,8.702278e-06
86,11.060606060606062,0.01,-7.867813e-06
87,11.363636363636363,0.01,-2.2470951e-05
88,11.666666666666668,0.01,-3.516674e-05
89,11.969696969696969,0.01,-4.553795e-05
90,12.272727272727273,0.01,-5.4359436e-05
91,12.575757575757578,0.01,-6.067753e-05
92,12.878787878787879,0.01,-6.5267086e-05
93,13.181818181818183,0.01,-6.812811e-05
94,13.484848484848484,0.01,-6.836653e-05
