,X,T,U
0,-15.0,0.01,0.001057595
1,-14.696969696969697,0.01,0.001057595
2,-14.393939393939394,0.01,0.0010571182
3,-14.09090909090909,0.01,0.0010580719
4,-13.787878787878787,0.01,0.001057595
5,-13.484848484848484,0.01,0.0010585487
6,-13.181818181818182,0.01,0.0010578334
7,-12.878787878787879,0.01,0.0010587871
8,-12.575757575757576,0.01,0.0010595024
9,-12.272727272727273,0.01,0.0010595024
10,-11.969696969696969,0.01,0.0010602176
11,-11.666666666666666,0.01,0.0010609329
12,-11.363636363636363,0.01,0.0010618865
13,-11.06060606060606,0.01,0.0010640323
14,-10.757575757575758,0.01,0.0010657012
15,-10.454545454545453,0.01,0.0010676086
16,-10.151515151515152,0.01,0.001069516
17,-9.848484848484848,0.01,0.0010742843
18,-9.545454545454545,0.01,0.0010783374
19,-9.242424242424242,0.01,0.0010833442
20,-8.93939393939394,0.01,0.0010916889
21,-8.636363636363637,0.01,0.0011002719
22,-8.333333333333332,0.01,0.0011114776
23,-8.030303030303031,0.01,0.0011243522
24,-7.727272727272727,0.01,0.0011419952
25,-7.424242424242424,0.01,0.0011634529
26,-7.121212121212121,0.01,0.0011892021
27,-6.818181818181818,0.01,0.0012221038
28,-6.515151515151516,0.01,0.0012609661
29,-6.212121212121211,0.01,0.0013084114
30,-5.909090909090908,0.01,0.0013637245
31,-5.6060606060606055,0.01,0.0014285743
32,-5.303030303030303,0.01,0.0015027225
33,-5.0,0.01,0.0015837848
34,-4.696969696969697,0.01,0.0016700923
35,-4.3939393939393945,0.01,0.0017594993
36,-4.09090909090909,0.01,0.0018491447
37,-3.787878787878787,0.01,0.001942128
38,-3.4848484848484844,0.01,0.0020558536
39,-3.1818181818181817,0.01,0.002246827
40,-2.878787878787879,0.01,0.0026526153
41,-2.575757575757576,0.01,0.0036067665
42,-2.2727272727272716,0.01,0.005879849
43,-1.9696969696969688,0.01,0.011218756
44,-1.666666666666666,0.01,0.022836179
45,-1.3636363636363633,0.01,0.035972565
46,-1.0606060606060606,0.01,-0.044021398
47,-0.7575757575757578,0.01,0.38804862
48,-0.45454545454545325,0.01,2.7600431
49,-0.1515151515151505,0.01,4.545327
50,0.15151515151515227,0.01,4.4668546
51,0.45454545454545503,0.01,2.8143451
52,0.7575757575757578,0.01,0.3313751
53,1.0606060606060623,0.01,-0.041669637
54,1.3636363636363633,0.01,0.025308818
55,1.6666666666666679,0.01,0.04953596
56,1.9696969696969688,0.01,0.044764966
57,2.2727272727272734,0.01,0.034169167
58,2.575757575757578,0.01,0.024373978
59,2.878787878787879,0.01,0.016831845
60,3.1818181818181834,0.01,0.011465043
61,3.4848484848484844,0.01,0.007805079
62,3.787878787878789,0.01,0.005367726
63,4.09090909090909,0.01,0.003767699
64,4.3939393939393945,0.01,0.0027262866
65,4.696969696969699,0.01,0.0020498931
66,5.0,0.01,0.0016104877
67,5.3030303030303045,0.01,0.0013260543
68,5.6060606060606055,0.01,0.0011400878
69,5.90909090909091,0.01,0.0010170639
70,6.212121212121211,0.01,0.0009369552
71,6.515151515151516,0.01,0.0008828342
72,6.81818181818182,0.01,0.00084635615
73,7.121212121212121,0.01,0.0008225143
74,7.424242424242426,0.01,0.00080510974
75,7.727272727272727,0.01,0.0007931888
76,8.030303030303031,0.01,0.00078579783
77,8.333333333333336,0.01,0.00077983737
78,8.636363636363637,0.01,0.00077459216
79,8.939393939393941,0.01,0.000772208
80,9.242424242424242,0.01,0.0007695854
81,9.545454545454547,0.01,0.000767678
82,9.848484848484848,0.01,0.00076672435
83,10.151515151515152,0.01,0.00076553226
84,10.454545454545457,0.01,0.00076529384
85,10.757575757575758,0.01,0.0007638633
86,11.060606060606062,0.01,0.00076410174
87,11.363636363636363,0.01,0.00076290965
88,11.666666666666668,0.01,0.0007636249
89,11.969696969696969,0.01,0.00076290965
90,12.272727272727273,0.01,0.00076267123
91,12.575757575757578,0.01,0.0007621944
92,12.878787878787879,0.01,0.00076314807
93,13.181818181818183,0.01,0.00076290965
94,13.484848484848484,0.01,0.0007624328
95,13.787878787878789,0.01,0.0007621944
96,14.090909090909093,0.01,0.000761956
97,14.393939393939394,0.01,0.00076171756
98,14.696969696969699,0.01,0.000761956
99,15.0,0.01,0.000761956
100,-15.0,0.02,0.001057595
101,-14.696969696969697,0.02,0.0010571182
