,X,T,U
0,-15.0,0.01,-0.00029583462
1,-14.696969696969697,0.01,-0.00029011257
2,-14.393939393939394,0.01,-0.00028486736
3,-14.09090909090909,0.01,-0.000277834
4,-13.787878787878787,0.01,-0.00027068146
5,-13.484848484848484,0.01,-0.0002620984
6,-13.181818181818182,0.01,-0.00025268085
7,-12.878787878787879,0.01,-0.00024183281
8,-12.575757575757576,0.01,-0.00022991188
9,-12.272727272727273,0.01,-0.0002160836
10,-11.969696969696969,0.01,-0.00020046718
11,-11.666666666666666,0.01,-0.00018318184
12,-11.363636363636363,0.01,-0.00016327389
13,-11.06060606060606,0.01,-0.00014050491
14,-10.757575757575758,0.01,-0.00011511333
15,-10.454545454545453,0.01,-8.6026266e-05
16,-10.151515151515152,0.01,-5.3005293e-05
17,-9.848484848484848,0.01,-1.5573576e-05
18,-9.545454545454545,0.01,2.710335e-05
19,-9.242424242424242,0.01,7.585995e-05
20,-8.93939393939394,0.01,0.0001316499
21,-8.636363636363637,0.01,0.00019566528
22,-8.333333333333332,0.01,0.0002690982
23,-8.030303030303031,0.01,0.0003537368
24,-7.727272727272727,0.01,0.00045148842
25,-7.424242424242424,0.01,0.00056485645
26,-7.121212121212121,0.01,0.0006964635
27,-6.818181818181818,0.01,0.0008519124
28,-6.515151515151516,0.01,0.0010346603
29,-6.212121212121211,0.01,0.0012516212
30,-5.909090909090908,0.01,0.0015113782
31,-5.6060606060606055,0.01,0.0018252563
32,-5.303030303030303,0.01,0.0022081565
33,-5.0,0.01,0.0026818942
34,-4.696969696969697,0.01,0.0032744836
35,-4.3939393939393945,0.01,0.004027767
36,-4.09090909090909,0.01,0.004997773
37,-3.787878787878787,0.01,0.006265564
38,-3.4848484848484844,0.01,0.0079416465
39,-3.1818181818181817,0.01,0.0101641845
40,-2.878787878787879,0.01,0.01308362
41,-2.575757575757576,0.01,0.01676838
42,-2.2727272727272716,0.01,0.020993276
43,-1.9696969696969688,0.01,0.024845643
44,-1.666666666666666,0.01,0.02613823
45,-1.3636363636363633,0.01,0.01884429
46,-1.0606060606060606,0.01,-0.013549166
47,-0.7575757575757578,0.01,0.09905593
48,-0.45454545454545325,0.01,2.9087052
49,-0.1515151515151505,0.01,4.4605355
50,0.15151515151515227,0.01,4.4433985
51,0.45454545454545503,0.01,2.9238093
52,0.7575757575757578,0.01,0.14818726
53,1.0606060606060623,0.01,-0.010523038
54,1.3636363636363633,0.01,0.007722182
55,1.6666666666666679,0.01,0.014140172
56,1.9696969696969688,0.01,0.015548272
57,2.2727272727272734,0.01,0.0147841405
58,2.575757575757578,0.01,0.013249798
59,2.878787878787879,0.01,0.011598749
60,3.1818181818181834,0.01,0.010064049
61,3.4848484848484844,0.01,0.00870697
62,3.787878787878789,0.01,0.007527275
63,4.09090909090909,0.01,0.0065073203
64,4.3939393939393945,0.01,0.005627198
65,4.696969696969699,0.01,0.0048675966
66,5.0,0.01,0.0042107534
67,5.3030303030303045,0.01,0.0036424827
68,5.6060606060606055,0.01,0.0031497907
69,5.90909090909091,0.01,0.0027226638
70,6.212121212121211,0.01,0.0023509692
71,6.515151515151516,0.01,0.0020274352
72,6.81818181818182,0.01,0.0017452668
73,7.121212121212121,0.01,0.0014989804
74,7.424242424242426,0.01,0.0012833308
75,7.727272727272727,0.01,0.0010953378
76,8.030303030303031,0.01,0.0009296369
77,8.333333333333336,0.01,0.0007846784
78,8.636363636363637,0.01,0.0006574821
79,8.939393939393941,0.01,0.00054530613
80,9.242424242424242,0.01,0.00044672005
81,9.545454545454547,0.01,0.00035969727
82,9.848484848484848,0.01,0.0002832841
83,10.151515151515152,0.01,0.00021581165
84,10.454545454545457,0.01,0.00015644543
85,10.757575757575758,0.01,0.00010399334
86,11.060606060606062,0.01,5.738251e-05
87,11.363636363636363,0.01,1.6374514e-05
88,11.666666666666668,0.01,-1.9745901e-05
89,11.969696969696969,0.01,-5.205162e-05
90,12.272727272727273,0.01,-8.042343e-05
91,12.575757575757578,0.01,-0.00010545738
92,12.878787878787879,0.01,-0.00012810715
93,13.181818181818183,0.01,-0.00014741905
94,13.484848484848484,0.01,-0.0001647044
95,13.787878787878789,0.01,-0.00018044002
96,14.090909090909093,0.01,-0.00019414909
97,14.393939393939394,0.01,-0.00020618923
98,14.696969696969699,0.01,-0.00021691807
99,15.0,0.01,-0.00022645481
100,-15.0,0.02,-0.0002955962
101,-14.696969696969697,0.02,-0.000290351
102,-14.393939393939394,0.02,-0.00028450973
103,-14.09090909090909,0.02,-0.0002777148
104,-13.787878787878787,0.02,-0.00027056225
105,-13.484848484848484,0.02,-0.0002620984
106,-13.181818181818182,0.02,-0.00025256164
107,-12.878787878787879,0.02,-0.00024159439
108,-12.575757575757576,0.02,-0.00022943504
109,-12.272727272727273,0.02,-0.00021584518
110,-11.969696969696969,0.02,-0.00020022877
111,-11.666666666666666,0.02,-0.00018258579
112,-11.363636363636363,0.02,-0.00016303547
113,-11.06060606060606,0.02,-0.00013978966
114,-10.757575757575758,0.02,-0.000114755705
115,-10.454545454545453,0.02,-8.566864e-05
116,-10.151515151515152,0.02,-5.2409247e-05
117,-9.848484848484848,0.02,-1.497753e-05
118,-9.545454545454545,0.02,2.7699396e-05
119,-9.242424242424242,0.02,7.6694414e-05
120,-8.93939393939394,0.02,0.00013248436
121,-8.636363636363637,0.02,0.00019673817
122,-8.333333333333332,0.02,0.0002702903
123,-8.030303030303031,0.02,0.0003549289
124,-7.727272727272727,0.02,0.00045291893
125,-7.424242424242424,0.02,0.0005665254
126,-7.121212121212121,0.02,0.0006988477
127,-6.818181818181818,0.02,0.0008540582
128,-6.515151515151516,0.02,0.0010374021
129,-6.212121212121211,0.02,0.0012547206
130,-5.909090909090908,0.02,0.0015144777
131,-5.6060606060606055,0.02,0.0018291902
132,-5.303030303030303,0.02,0.0022129249
133,-5.0,0.02,0.002687497
134,-4.696969696969697,0.02,0.0032818746
135,-4.3939393939393945,0.02,0.004036827
136,-4.09090909090909,0.02,0.0050099324
137,-3.787878787878787,0.02,0.006282015
138,-3.4848484848484844,0.02,0.007962985
139,-3.1818181818181817,0.02,0.010193987
140,-2.878787878787879,0.02,0.013121767
141,-2.575757575757576,0.02,0.01681344
142,-2.2727272727272716,0.02,0.021037145
143,-1.9696969696969688,0.02,0.024893088
144,-1.666666666666666,0.02,0.026285453
145,-1.3636363636363633,0.02,0.018999858
146,-1.0606060606060606,0.02,-0.014588313
147,-0.7575757575757578,0.02,1.3408202
148,-0.45454545454545325,0.02,2.8349488
149,-0.1515151515151505,0.02,3.599099
150,0.15151515151515227,0.02,3.6014411
151,0.45454545454545503,0.02,2.8660905
152,0.7575757575757578,0.02,1.3901597
153,1.0606060606060623,0.02,-0.006626921
154,1.3636363636363633,0.02,0.007591052
155,1.6666666666666679,0.02,0.014128966
156,1.9696969696969688,0.02,0.015595598
157,2.2727272727272734,0.02,0.014846129
158,2.575757575757578,0.02,0.0132878255
159,2.878787878787879,0.02,0.011610789
160,3.1818181818181834,0.02,0.010060472
161,3.4848484848484844,0.02,0.008695407
162,3.787878787878789,0.02,0.0075122546
163,4.09090909090909,0.02,0.0064919423
164,4.3939393939393945,0.02,0.0056120586
165,4.696969696969699,0.02,0.0048537683
166,5.0,0.02,0.004198594
167,5.3030303030303045,0.02,0.0036316346
168,5.6060606060606055,0.02,0.0031404924
169,5.90909090909091,0.02,0.0027144384
170,6.212121212121211,0.02,0.0023435783
171,6.515151515151516,0.02,0.0020212363
172,6.81818181818182,0.02,0.0017400216
173,7.121212121212121,0.02,0.0014939737
174,7.424242424242426,0.02,0.0012795161
175,7.727272727272727,0.02,0.0010917615
176,8.030303030303031,0.02,0.00092677586
177,8.333333333333336,0.02,0.000782175
178,8.636363636363637,0.02,0.0006550979
179,8.939393939393941,0.02,0.0005433988
180,9.242424242424242,0.02,0.0004449319
181,9.545454545454547,0.02,0.00035826676
182,9.848484848484848,0.02,0.0002819728
183,10.151515151515152,0.02,0.00021485798
184,10.454545454545457,0.02,0.00015513413
185,10.757575757575758,0.02,0.00010256283
186,11.060606060606062,0.02,5.6786463e-05
187,11.363636363636363,0.02,1.5659258e-05
188,11.666666666666668,0.02,-2.0461157e-05
189,11.969696969696969,0.02,-5.2766874e-05
190,12.272727272727273,0.02,-8.1019476e-05
191,12.575757575757578,0.02,-0.00010593422
192,12.878787878787879,0.02,-0.00012822635
193,13.181818181818183,0.02,-0.00014765747
194,13.484848484848484,0.02,-0.00016506203
195,13.787878787878789,0.02,-0.00018032081
196,14.090909090909093,0.02,-0.0001942683
197,14.393939393939394,0.02,-0.00020642765
