,X,T,U
0,-15.0,0.01,-2.4869107e-05
1,-14.696969696969697,0.01,-2.9041432e-05
2,-14.393939393939394,0.01,-3.3988617e-05
3,-14.09090909090909,0.01,-3.88762e-05
4,-13.787878787878787,0.01,-4.388299e-05
5,-13.484848484848484,0.01,-5.0141476e-05
6,-13.181818181818182,0.01,-5.5803917e-05
7,-12.878787878787879,0.01,-6.212201e-05
8,-12.575757575757576,0.01,-6.903615e-05
9,-12.272727272727273,0.01,-7.571187e-05
10,-11.969696969696969,0.01,-8.328166e-05
11,-11.666666666666666,0.01,-9.061303e-05
12,-11.363636363636363,0.01,-9.818282e-05
13,-11.06060606060606,0.01,-0.000105573796
14,-10.757575757575758,0.01,-0.00011290517
15,-10.454545454545453,0.01,-0.00011946168
16,-10.151515151515152,0.01,-0.00012512412
17,-9.848484848484848,0.01,-0.00012959447
18,-9.545454545454545,0.01,-0.00013203826
19,-9.242424242424242,0.01,-0.00013150182
20,-8.93939393939394,0.01,-0.00012703147
21,-8.636363636363637,0.01,-0.00011803117
22,-8.333333333333332,0.01,-0.00010253396
23,-8.030303030303031,0.01,-7.881131e-05
24,-7.727272727272727,0.01,-4.465785e-05
25,-7.424242424242424,0.01,3.0854717e-06
26,-7.121212121212121,0.01,6.6922046e-05
27,-6.818181818181818,0.01,0.00015263353
28,-6.515151515151516,0.01,0.00026415382
29,-6.212121212121211,0.01,0.00040863547
30,-5.909090909090908,0.01,0.0005948404
31,-5.6060606060606055,0.01,0.0008336762
32,-5.303030303030303,0.01,0.0011403421
33,-5.0,0.01,0.0015356401
34,-4.696969696969697,0.01,0.0020487169
35,-4.3939393939393945,0.01,0.002721713
36,-4.09090909090909,0.01,0.003617392
37,-3.787878787878787,0.01,0.004829512
38,-3.4848484848484844,0.01,0.006492899
39,-3.1818181818181817,0.01,0.00879489
40,-2.878787878787879,0.01,0.011951313
41,-2.575757575757576,0.01,0.01608269
42,-2.2727272727272716,0.01,0.020816252
43,-1.9696969696969688,0.01,0.024337992
44,-1.666666666666666,0.01,0.021979615
45,-1.3636363636363633,0.01,0.007159875
46,-1.0606060606060606,0.01,-0.012419536
47,-0.7575757575757578,0.01,0.016775712
48,-0.45454545454545325,0.01,2.9258595
49,-0.1515151515151505,0.01,4.4444256
50,0.15151515151515227,0.01,4.4387264
51,0.45454545454545503,0.01,2.937758
52,0.7575757575757578,0.01,0.005973623
53,1.0606060606060623,0.01,0.00022994075
54,1.3636363636363633,0.01,0.012737618
55,1.6666666666666679,0.01,0.016243443
56,1.9696969696969688,0.01,0.015116737
57,2.2727272727272734,0.01,0.012355731
58,2.575757575757578,0.01,0.009533928
59,2.878787878787879,0.01,0.0071661333
60,3.1818181818181834,0.01,0.005319462
61,3.4848484848484844,0.01,0.0039233426
62,3.787878787878789,0.01,0.0028825859
63,4.09090909090909,0.01,0.0021113018
64,4.3939393939393945,0.01,0.0015417198
65,4.696969696969699,0.01,0.0011206726
66,5.0,0.01,0.0008093575
67,5.3030303030303045,0.01,0.00057755504
68,5.6060606060606055,0.01,0.00040488038
69,5.90909090909091,0.01,0.00027452502
70,6.212121212121211,0.01,0.00017498527
71,6.515151515151516,0.01,9.8989345e-05
72,6.81818181818182,0.01,3.8133003e-05
73,7.121212121212121,0.01,-9.193085e-06
74,7.424242424242426,0.01,-4.8055314e-05
75,7.727272727272727,0.01,-7.9645775e-05
76,8.030303030303031,0.01,-0.00010599103
77,8.333333333333336,0.01,-0.0001286408
78,8.636363636363637,0.01,-0.00014747586
79,8.939393939393941,0.01,-0.00016386714
80,9.242424242424242,0.01,-0.00017769542
81,9.545454545454547,0.01,-0.00018997397
82,9.848484848484848,0.01,-0.00020046439
83,10.151515151515152,0.01,-0.00020922627
84,10.454545454545457,0.01,-0.00021697488
85,10.757575757575758,0.01,-0.00022347178
86,11.060606060606062,0.01,-0.00022919383
87,11.363636363636363,0.01,-0.00023426022
88,11.666666666666668,0.01,-0.00023801532
89,11.969696969696969,0.01,-0.0002416512
90,12.272727272727273,0.01,-0.000244393
91,12.575757575757578,0.01,-0.0002468368
92,12.878787878787879,0.01,-0.00024880376
93,13.181818181818183,0.01,-0.00025017466
94,13.484848484848484,0.01,-0.00025154557
95,13.787878787878789,0.01,-0.00025172438
96,14.090909090909093,0.01,-0.00025273766
97,14.393939393939394,0.01,-0.00025279727
98,14.696969696969699,0.01,-0.00025339331
99,15.0,0.01,-0.0002531549
100,-15.0,0.02,-2.171006e-05
101,-14.696969696969697,0.02,-2.683606e-05
102,-14.393939393939394,0.02,-3.2379292e-05
103,-14.09090909090909,0.02,-3.839936e-05
104,-13.787878787878787,0.02,-4.4359826e-05
105,-13.484848484848484,0.02,-5.1035546e-05
106,-13.181818181818182,0.02,-5.7592057e-05
107,-12.878787878787879,0.02,-6.516185e-05
108,-12.575757575757576,0.02,-7.302966e-05
109,-12.272727272727273,0.02,-8.1433915e-05
110,-11.969696969696969,0.02,-9.001698e-05
111,-11.666666666666666,0.02,-9.8898076e-05
112,-11.363636363636363,0.02,-0.00010831561
113,-11.06060606060606,0.02,-0.000117494725
114,-10.757575757575758,0.02,-0.00012637582
115,-10.454545454545453,0.02,-0.00013460126
116,-10.151515151515152,0.02,-0.00014270749
117,-9.848484848484848,0.02,-0.0001493236
118,-9.545454545454545,0.02,-0.00015325751
119,-9.242424242424242,0.02,-0.00015480723
120,-8.93939393939394,0.02,-0.00015278067
121,-8.636363636363637,0.02,-0.00014515128
122,-8.333333333333332,0.02,-0.0001312634
123,-8.030303030303031,0.02,-0.00010861363
124,-7.727272727272727,0.02,-7.4638985e-05
125,-7.424242424242424,0.02,-2.773013e-05
126,-7.121212121212121,0.02,3.7298538e-05
127,-6.818181818181818,0.02,0.00012467895
128,-6.515151515151516,0.02,0.00023917947
129,-6.212121212121211,0.02,0.00038884673
130,-5.909090909090908,0.02,0.0005808929
131,-5.6060606060606055,0.02,0.0008285502
132,-5.303030303030303,0.02,0.0011457065
133,-5.0,0.02,0.001554654
134,-4.696969696969697,0.02,0.0020831088
135,-4.3939393939393945,0.02,0.0027745226
136,-4.09090909090909,0.02,0.003691242
137,-3.787878787878787,0.02,0.0049238065
138,-3.4848484848484844,0.02,0.0066052536
139,-3.1818181818181817,0.02,0.008916841
140,-2.878787878787879,0.02,0.012062476
141,-2.575757575757576,0.02,0.016150817
142,-2.2727272727272716,0.02,0.020798787
143,-1.9696969696969688,0.02,0.024232492
144,-1.666666666666666,0.02,0.021946415
145,-1.3636363636363633,0.02,0.007297919
